,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086271335
0,No,No,Yes,Yes,No,No,No,1086271362
0,No,No,Yes,Yes,No,No,No,1086271368
0,No,Yes,Yes,Yes,No,No,No,1086271371
0,No,No,Yes,Yes,No,No,No,1086271393
0,No,No,Yes,Yes,No,No,No,1086271407
0,No,No,Yes,Yes,No,No,No,1086271448
0,No,No,Yes,Yes,No,No,No,1086271515
0,No,No,Yes,Yes,No,No,No,1086271644
0,No,No,Yes,Yes,No,No,No,1086271713
0,No,No,Yes,Yes,No,No,No,1086271714
0,No,No,Yes,Yes,No,No,No,1086271729
0,No,No,Yes,Yes,No,No,No,1086272133
0,No,No,Yes,Yes,No,No,No,1086272122
0,No,No,Yes,Yes,No,No,No,1086272244
0,No,No,Yes,Yes,No,No,No,1086272325
0,No,No,Yes,Yes,No,No,No,1086272453
0,No,No,Yes,Yes,No,No,No,1086272618
0,No,No,Yes,Yes,No,No,No,1086272644
0,No,No,Yes,Yes,No,No,No,1086272562
0,No,No,Yes,Yes,No,No,No,1086272643
0,No,No,Yes,Yes,No,No,No,1086272724
0,No,No,Yes,Yes,No,No,No,1086272725
0,No,No,Yes,Yes,No,No,No,1086272788
0,No,No,Yes,Yes,No,No,No,1086272917
0,No,No,Yes,Yes,No,No,No,1086272918
0,No,No,Yes,Yes,No,No,No,1086272946
0,No,No,Yes,Yes,No,No,No,1086273026
0,No,No,Yes,Yes,No,No,No,1086273095
0,No,No,Yes,Yes,No,No,No,1086273114
0,No,No,Yes,Yes,No,No,No,1086273218
0,No,No,Yes,Yes,No,No,No,1086273243
0,No,No,Yes,Yes,No,No,No,1086273289
0,No,No,Yes,Yes,No,No,No,1086273296
0,No,No,Yes,Yes,No,No,No,1086273498
0,No,No,Yes,Yes,No,No,No,1086273991
0,No,No,Yes,Yes,No,No,No,1086274022
0,No,No,Yes,Yes,No,No,No,1086274024
0,No,No,Yes,Yes,No,No,No,1086274025
0,No,No,Yes,Yes,No,No,No,1086274103
0,No,No,Yes,Yes,No,No,No,1086274205
0,No,No,Yes,Yes,No,No,No,1086274555
0,No,No,Yes,Yes,No,No,No,1086274448
0,No,No,Yes,Yes,No,No,No,1086274451
0,No,No,Yes,Yes,No,No,No,1086274469
0,No,No,Yes,Yes,No,No,No,1086274549
0,No,No,Yes,Yes,No,No,No,1086274547
0,No,No,Yes,Yes,No,No,No,1086274564
0,No,No,Yes,Yes,No,No,No,1086274593
0,No,No,Yes,Yes,No,No,No,1086274597
0,No,No,Yes,Yes,No,No,No,1086274736
0,No,No,Yes,Yes,No,No,No,1086274824
0,No,No,Yes,Yes,No,No,No,1086274901
0,No,No,Yes,Yes,No,No,No,1086275042
0,No,No,Yes,Yes,No,No,No,1086275056
0,No,No,Yes,Yes,No,No,No,1086275077
0,No,No,Yes,Yes,No,No,No,1086275227
