,Unnamed: 0,Assessment Number,Category of Ownership,Annual Rental Value,Effective Date,Property Type,Extent of Site (Sq.Yds),Zone,Ward,Election Ward,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection
0,1323,1086024459,Private,"3,323",28/03/2014,Residential,0.0,Zone19c,Revenue Ward 4,Election Ward 4,No,1,1,1,0,0,0
1,1414,1086029759,Private,"3,592",01/04/2021,Residential,531.65,Zone19b,Revenue Ward 4,Election Ward 4,No,0,1,1,0,0,0
2,7258,1086271335,Private,"10,585",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
3,7259,1086271362,Private,"9,185",01/04/2021,Residential,79.2,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
4,7260,1086271368,Private,"8,725",01/04/2021,Non Residential,240.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
5,7262,1086271393,Private,"11,384",01/04/2021,Residential,82.2,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
6,7263,1086271407,Private,"12,852",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
7,7264,1086271448,Private,"1,052",20/03/2004,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
8,7265,1086271515,Private,"10,783",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
9,7266,1086271644,Private,"1,638",19/07/2004,Residential,54.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
10,7267,1086271713,Private,"1,872",04/09/2004,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
11,7268,1086271714,Private,"2,107",04/09/2004,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
12,7269,1086271729,Private,889,01/04/2021,Residential,110.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
13,7270,1086272133,Private,"3,830",01/04/2018,Residential,120.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
14,7271,1086272122,Private,"20,788",01/04/2021,Residential,129.78,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
15,7272,1086272244,Private,"4,571",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
16,7273,1086272325,Private,"8,467",01/04/2021,Residential,49.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
17,7274,1086272453,Private,"25,051",01/04/2021,Residential,132.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
18,7275,1086272618,Private,"23,605",01/04/2021,Mixed,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
19,7276,1086272644,Private,"3,902",01/04/2021,Residential,44.88,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
20,7277,1086272562,Private,"7,620",01/04/2021,Residential,61.2,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
21,7278,1086272643,Private,"4,435",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
22,7279,1086272724,Private,"12,644",01/04/2021,Residential,102.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
23,7280,1086272725,Private,"11,574",01/04/2021,Residential,102.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
24,7281,1086272788,Private,"11,456",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
25,7282,1086272917,Private,"30,798",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
26,7283,1086272918,Private,"15,071",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
27,7284,1086272946,Private,"13,507",01/04/2021,Residential,298.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
28,7285,1086273026,Private,"11,232",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
29,7286,1086273095,Private,"67,961",01/04/2021,Mixed,96.5,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
30,7287,1086273114,Private,"6,720",01/04/2021,Residential,102.18,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
31,7288,1086273218,Private,"3,370",28/05/2005,Residential,103.95,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
32,7289,1086273243,Private,"3,049",01/04/2018,Residential,80.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
33,7290,1086273289,Private,937,30/11/2005,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
34,7291,1086273296,Private,"1,720",01/10/2017,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
35,7292,1086273498,Private,"1,887",01/04/2021,Residential,54.87,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
36,7293,1086273991,Private,"20,928",01/04/2021,Residential,121.8,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
37,7294,1086274022,Private,"1,954",01/04/2021,Residential,50.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
38,7295,1086274024,Private,"8,637",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
39,7296,1086274025,Private,"8,637",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
40,7297,1086274103,Private,797,23/05/2008,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
41,7298,1086274205,Private,696,01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
42,7299,1086274555,Private,"7,913",15/12/2010,Mixed,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
43,7300,1086274448,Private,"6,640",01/04/2021,Residential,168.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
