,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086087770
1,No,No,Yes,Yes,No,No,No,1086071296
2,No,No,Yes,Yes,No,No,No,1086306067
3,No,No,Yes,Yes,No,No,No,1086059570
4,No,No,Yes,Yes,No,No,No,1086220555
5,No,No,Yes,Yes,No,No,No,1086379665
6,No,No,Yes,Yes,No,No,No,1086186651
7,No,Yes,Yes,Yes,Yes,No,No,1086371639
8,No,No,No,No,No,No,No,1086474926
9,No,No,Yes,Yes,No,No,No,1086115221
10,No,No,Yes,Yes,No,No,No,1086298010
11,No,No,Yes,Yes,No,No,No,1086356377
12,No,No,Yes,Yes,No,No,No,1086372207
13,No,No,Yes,Yes,No,No,No,1086186643
14,No,No,Yes,Yes,No,No,No,1086258794
15,No,No,Yes,Yes,No,No,No,1086342085
16,No,Yes,No,No,No,No,No,1086499804
17,No,No,No,Yes,No,No,No,1086460098
18,No,No,Yes,Yes,No,No,No,1086071797
19,No,No,Yes,Yes,No,No,No,1086126766
20,No,No,Yes,Yes,No,No,No,1086222355
21,No,No,Yes,Yes,No,No,No,1086254937
22,No,No,Yes,Yes,No,No,No,1086062165
23,No,No,Yes,Yes,No,No,No,1086447367
24,No,No,Yes,Yes,No,No,No,1086366164
25,No,No,Yes,Yes,No,No,No,1086371659
26,No,No,Yes,Yes,No,No,No,1086317919
27,No,No,Yes,Yes,No,No,No,1086115188
28,No,No,Yes,Yes,No,No,No,1086067417
29,No,No,Yes,Yes,No,No,No,1086090833
30,No,No,Yes,Yes,No,No,No,1086266241
31,No,No,Yes,Yes,No,No,No,1086420479
32,No,No,Yes,Yes,No,No,No,1086096681
33,No,No,No,No,No,No,No,1086528065
34,No,No,Yes,Yes,No,No,No,1086378832
35,No,No,Yes,Yes,No,No,No,1086109361
36,No,No,Yes,Yes,No,No,No,1086299044
37,No,No,Yes,Yes,No,No,No,1086332413
38,No,No,Yes,Yes,No,No,No,1086363993
39,No,No,Yes,Yes,No,No,No,1086379853
40,No,No,No,No,No,No,No,1086533338
41,No,No,Yes,Yes,No,No,No,1086126087
42,No,No,Yes,Yes,No,No,No,1086167180
43,No,No,Yes,Yes,No,No,No,1086117171
44,No,No,Yes,Yes,No,No,No,1086134543
45,No,No,Yes,Yes,No,No,No,1086091117
46,No,No,No,No,No,No,No,1086490394
47,No,No,Yes,Yes,No,No,No,1086225017
48,No,No,Yes,Yes,No,No,No,1086293605
49,No,No,Yes,Yes,No,No,No,1086391669
50,No,No,Yes,Yes,No,No,No,1086081998
51,No,No,Yes,Yes,No,No,No,1086176995
52,No,No,Yes,Yes,No,No,No,1086296008
53,No,No,Yes,Yes,No,No,No,1086087938
54,No,No,Yes,Yes,No,No,No,1086301616
55,No,No,No,No,No,No,No,1086474850
56,No,No,Yes,Yes,No,No,No,1086264879
57,No,Yes,No,No,Yes,No,No,1086498885
58,No,No,Yes,Yes,No,No,No,1086356761
59,No,No,Yes,Yes,No,No,No,1086283858
60,No,No,Yes,Yes,No,No,No,1086142985
61,No,No,Yes,Yes,No,No,No,1086369494
62,No,No,Yes,Yes,No,No,No,1086184495
63,No,No,Yes,Yes,No,No,No,1086219992
64,No,No,Yes,Yes,No,No,No,1086070797
65,No,No,Yes,Yes,No,No,No,1086114377
66,No,No,Yes,Yes,No,No,No,1086260279
67,No,Yes,No,Yes,Yes,No,Yes,1086530086
68,No,No,Yes,Yes,No,No,No,1086205850
69,No,No,Yes,Yes,No,No,No,1086068158
70,No,No,No,No,No,No,No,1086529300
71,No,Yes,No,Yes,Yes,No,No,1086545781
72,No,No,No,No,No,No,No,1086475013
73,No,No,Yes,Yes,No,No,No,1086444521
74,No,No,No,Yes,Yes,No,Yes,1086539566
75,Yes,Yes,No,Yes,Yes,No,No,1086493540
76,No,No,Yes,Yes,No,No,No,1086350782
77,No,No,Yes,Yes,No,No,No,1086095019
78,No,No,Yes,Yes,No,No,No,1086255233
79,No,No,Yes,Yes,No,No,No,1086370509
80,No,No,Yes,Yes,No,No,No,1086117259
81,No,No,Yes,Yes,No,No,No,1086248707
82,No,No,Yes,Yes,No,No,No,1086350422
83,No,No,Yes,Yes,No,No,No,1086370583
84,No,No,Yes,Yes,No,No,No,1086071157
85,No,No,Yes,Yes,No,No,No,1086297764
86,No,No,Yes,Yes,No,No,No,1086344558
87,No,No,Yes,Yes,No,No,No,1086145599
88,No,No,Yes,Yes,No,No,No,1086117176
89,No,No,Yes,Yes,No,No,No,1086126773
90,No,No,Yes,Yes,No,No,No,1086400474
91,No,No,No,No,No,No,No,1086498152
92,No,No,Yes,Yes,No,No,No,1086073952
93,No,No,Yes,Yes,No,No,No,1086215246
94,No,No,Yes,Yes,No,No,No,1086297760
95,No,No,Yes,Yes,No,No,No,1086297762
96,No,No,Yes,Yes,No,No,No,1086298390
97,No,No,Yes,Yes,No,No,No,1086325270
98,No,No,Yes,Yes,No,No,No,1086090842
99,No,No,Yes,Yes,No,No,No,1086300172
100,No,No,Yes,Yes,No,No,No,1086254634
101,No,No,Yes,Yes,No,No,No,1086400654
102,No,No,No,No,No,No,No,1086083267
103,No,No,Yes,Yes,No,No,No,1086101080
104,No,No,Yes,Yes,No,No,No,1086186579
105,No,No,Yes,Yes,No,No,No,1086168514
106,No,No,Yes,Yes,No,No,No,1086394171
107,No,No,Yes,Yes,No,No,No,1086269440
108,No,No,Yes,Yes,No,No,No,1086299297
109,No,No,No,No,No,No,No,1086466368
110,No,No,Yes,Yes,No,No,No,1086298113
111,No,No,Yes,Yes,No,No,No,1086116511
112,No,Yes,Yes,Yes,No,No,No,1086251613
113,No,No,Yes,Yes,No,No,No,1086297655
114,No,No,Yes,Yes,No,No,No,1086447531
115,No,No,Yes,Yes,No,No,No,1086330112
116,No,No,Yes,Yes,No,No,No,1086073602
117,No,No,Yes,Yes,No,No,No,1086258937
118,No,No,Yes,Yes,No,No,No,1086259157
119,No,No,Yes,Yes,No,No,No,1086315828
120,No,No,Yes,Yes,No,No,No,1086186566
121,No,No,Yes,Yes,No,No,No,1086299577
122,No,No,Yes,Yes,No,No,No,1086137084
123,No,Yes,No,Yes,Yes,No,No,1086498197
124,No,No,Yes,Yes,No,No,No,1086310515
125,No,No,Yes,Yes,No,No,No,1086096884
126,No,Yes,Yes,Yes,Yes,No,Yes,1086548184
